fecha	Humedad Específica (gr/Kg)
ene-79	12,5
feb-79	13,4
mar-79	13,0
abr-79	12,4
may-79	11,6
jun-79	11,6
jul-79	10,1
ago-79	9,9
sep-79	9,7
oct-79	9,8
nov-79	10,3
dic-79	11,4
ene-80	12,7
feb-80	13,0
mar-80	13,0
abr-80	12,2
may-80	11,6
jun-80	11,1
jul-80	9,7
ago-80	9,8
sep-80	9,4
oct-80	9,5
nov-80	9,6
dic-80	10,6
ene-81	11,2
feb-81	12,3
mar-81	11,7
abr-81	11,8
may-81	11,0
jun-81	10,5
jul-81	9,8
ago-81	9,7
sep-81	9,3
oct-81	9,7
nov-81	10,0
dic-81	10,6
ene-82	11,7
feb-82	11,9
mar-82	12,2
abr-82	12,1
may-82	11,3
jun-82	10,6
jul-82	10,0
ago-82	9,6
sep-82	9,7
oct-82	9,5
nov-82	9,6
dic-82	10,7
ene-83	11,5
feb-83	12,6
mar-83	12,2
abr-83	11,5
may-83	10,5
jun-83	10,4
jul-83	9,7
ago-83	9,1
sep-83	9,2
oct-83	9,2
nov-83	9,7
dic-83	10,7
ene-84	11,9
feb-84	12,3
mar-84	12,4
abr-84	11,5
may-84	11,2
jun-84	10,4
jul-84	9,9
ago-84	9,6
sep-84	9,3
oct-84	8,8
nov-84	9,0
dic-84	10,0
ene-85	10,9
feb-85	11,6
mar-85	11,4
abr-85	10,8
may-85	10,4
jun-85	9,6
jul-85	9,1
ago-85	9,1
sep-85	8,9
oct-85	9,0
nov-85	9,3
dic-85	10,1
ene-86	10,8
feb-86	11,6
mar-86	11,6
abr-86	11,3
may-86	10,4
jun-86	9,9
jul-86	8,7
ago-86	8,6
sep-86	8,6
oct-86	8,4
nov-86	8,8
dic-86	9,7
ene-87	11,5
feb-87	11,7
mar-87	11,4
abr-87	11,2
may-87	10,4
jun-87	10,0
jul-87	9,4
ago-87	9,4
sep-87	9,1
oct-87	9,1
nov-87	9,6
dic-87	10,7
ene-88	11,6
feb-88	11,8
mar-88	11,7
abr-88	11,2
may-88	10,8
jun-88	10,1
