Año	OLR1	OLR2
1953	202.93	222.93
1954	203.56	228.56
1955	206.44	226.44
1956	203.16	223.16
1957	208.18	240.18
1958	210.10	240.10
1959	209.15	239.15
1960	210.53	240.53
1961	214.18	244.18
1962	207.60	237.60
1963	203.60	243.60
1964	201.46	231.46
1965	215.21	235.21
1966	217.51	237.51
1967	209.85	229.85
1968	204.53	234.53
1969	205.83	225.83
1970	205.64	225.64
1971	200.70	215.70
1972	203.73	223.73
1973	184.01	204.01
1974	192.79	202.79
1975	189.77	209.77
1976	189.34	209.34
1977	192.23	209.23
1978	187.53	207.53
1979	191.43	211.43
1980	187.48	167.48
1981	186.86	166.86
1982	195.08	175.08
1983	195.92	175.92
1984	184.67	164.67
1985	189.33	169.33
1986	190.68	170.68
1987	195.20	175.20
1988	189.26	169.26
1989	188.15	168.15
1990	185.65	165.65
1991	190.43	170.43
1992	196.79	176.79
1993	190.99	170.99
1994	196.00	176.00
1995	194.14	174.14
1996	191.64	171.64
1997	201.40	181.40
1998	207.06	187.06
1999	191.87	171.87
2000	195.31	175.31
2001	200.69	180.69
2002	202.48	182.48
2003	195.10	175.10
2004	198.50	178.50
2005	194.44	174.44
2006	194.71	174.71
2007	197.16	177.16
2008	192.24	172.24
2009	196.21	176.21
2010	202.71	182.71
2011	191.83	171.83
