Año	OLR_1	OLR_2
1953	202.93	227.93
1954	203.56	223.56
1955	206.44	227.44
1956	203.16	224.16
1957	208.18	230.18
1958	210.1	232.1
1959	209.15	234.15
1960	205.53	234.53
1961	204.18	229.18
1962	207.6	232.6
1963	203.6	233.6
1964	201.46	226.46
1965	205.21	230.21
1966	207.51	232.51
1967	209.85	224.85
1968	204.53	229.53
1969	205.83	225.83
1970	205.64	225.64
1971	200.7	222.23
1972	203.73	223.73
1973	194.01	214.01
1974	192.79	218.79
1975	189.77	219.77
1976	189.34	219.34
1977	192.23	219.23
1978	187.53	217.53
1979	191.43	221.43
1980	187.48	167.48
1981	186.86	166.86
1982	195.08	175.08
1983	195.92	175.92
1984	184.67	164.67
1985	189.33	169.33
1986	190.68	170.68
1987	195.2	175.2
1988	189.26	169.26
1989	188.15	168.15
1990	185.65	165.65
1991	190.43	170.43
1992	196.79	176.79
1993	190.99	170.99
1994	196	176
1995	194.14	174.14
1996	191.64	171.64
1997	201.4	174.4
1998	207.06	179.52
1999	191.87	171.87
2000	195.31	175.31
2001	200.69	178.86
2002	202.48	179.23
2003	195.1	175.1
2004	198.5	178.5
2005	194.44	174.44
2006	194.71	174.71
2007	197.16	177.16
2008	192.24	172.24
2009	196.21	176.21
2010	202.71	179.56
2011	191.83	171.83
2012	187.48	202.93
2013	186.86	208.56
2014	195.08	206.44
2015	195.92	203.16
2016	184.67	220.18
2017	189.33	220.1
2018	190.68	219.15
2019	195.2	220.53
2020	189.26	224.18
2021	188.15	217.6
2022	185.65	223.6
2023	190.43	211.46
2024	196.79	215.21
2025	190.99	217.51
2026	196	209.85
2027	198.18	214.53
2028	199.1	205.83
2029	201.15	205.64
2030	200.53	195.7
2031	201.18	203.73
2032	198.6	198.26
2033	197.6	195.56
2034	196.46	196.32
