1903	1808
1904	1156
1905	2085
1906	1046
1907	1344
1908	1441
1909	1153
1910	1715
1911	1755
1912	1339
1913	1504
1914	1997
1915	1642
1916	1184
1917	911
1918	1674
1919	1565
1920	1862
1921	1709
1922	1590
1923	1733
1924	888
1925	1463
1926	1526
1927	1209
1928	2493
1929	1470
1930	1539
1931	1372
1932	1751
1933	1029
1934	1351
1935	1652
1936	1650
1937	1574
1938	1413
1939	2192
1940	2162
1941	2528
1942	1570
1943	1230
1944	1055
1945	1274
1946	2108
1947	1678
1948	2205
1949	1556
1950	1968
1951	1538
1952	1660
1953	1748
1954	2291
1955	1642
1956	1366
1957	1844
1958	1746
1959	2170
1960	1532
1961	2030
1962	1177
1963	1995
1964	1431
1965	2010
1966	1745
1967	1423
1968	1260
1969	1436
1970	1644
1971	1321
1972	2019
1973	2002
1974	1475
1975	1825
1976	1498
1977	1703
1978	1032
1979	1661
1980	1137.2
1981	1242
1982	1996
1983	2433
1984	1832
1985	1525.1
1986	2254
1987	2334
1988	1323
1989	1911
1990	2142
