año	mes	pp
1979	1	24.7
1979	2	23.9
1979	3	20.4
1979	4	16.9
1979	5	13.2
1979	6	10.0
1979	7	12.7
1979	8	14.5
1979	9	13.5
1979	10	17.5
1979	11	18.5
1979	12	22.4
1980	1	25.0
1980	2	23.2
1980	3	24.8
1980	4	20.5
1980	5	16.5
1980	6	11.3
1980	7	10.2
1980	8	12.3
1980	9	13.8
1980	10	17.3
1980	11	19.8
1980	12	23.9
1981	1	24.0
1981	2	24.2
1981	3	21.7
1981	4	18.4
1981	5	18.7
1981	6	10.6
1981	7	10.8
1981	8	14.4
1981	9	14.4
1981	10	17.9
1981	11	21.2
1981	12	23.7
1982	1	24.3
1982	2	22.8
1982	3	22.5
1982	4	19.9
1982	5	16.7
1982	6	13.1
1982	7	12.2
1982	8	14.5
1982	9	17.8
1982	10	18.6
1982	11	20.4
1982	12	24.6
1983	1	27.4
1983	2	23.9
1983	3	21.8
1983	4	18.6
1983	5	15.0
1983	6	10.3
1983	7	9.9
1983	8	12.5
1983	9	14.1
1983	10	20.4
1983	11	21.4
1983	12	26.2
1984	1	25.9
1984	2	24.6
1984	3	22.6
1984	4	17.7
1984	5	15.2
1984	6	10.0
1984	7	10.5
1984	8	11.6
1984	9	15.7
1984	10	20.1
1984	11	21.0
1984	12	21.9
1985	1	26.3
1985	2	25.1
1985	3	22.8
1985	4	18.9
1985	5	17.0
1985	6	14.4
1985	7	12.9
1985	8	13.3
1985	9	15.4
1985	10	18.6
1985	11	23.6
1985	12	24.9
1986	1	26.6
1986	2	25.0
1986	3	21.4
1986	4	20.6
1986	5	16.7
1986	6	15.4
1986	7	13.8
1986	8	14.0
1986	9	17.1
1986	10	19.8
1986	11	22.5
1986	12	25.3
1987	1	26.7
1987	2	26.0
1987	3	24.0
1987	4	20.0
1987	5	13.9
1987	6	13.5
1987	7	14.8
1987	8	13.3
1987	9	15.3
1987	10	19.4
1987	11	22.7
1987	12	24.6
1988	1	25.9
1988	2	24.9
1988	3	25.6
1988	4	18.1
1988	5	13.1
1988	6	11.9
1988	7	11.6
1988	8	14.9
1988	9	15.7
1988	10	18.4
1988	11	24.2
1988	12	26.8
1989	1	28.3
1989	2	27.6
1989	3	22.7
1989	4	20.5
1989	5	16.6
1989	6	14.2
1989	7	12.2
1989	8	16.5
1989	9	15.7
1989	10	19.4
1989	11	22.8
1989	12	27.4
1990	1	27.6
1990	2	25.5
1990	3	22.8
1990	4	20.5
1990	5	15.9
1990	6	12.4
1990	7	12.9
1990	8	17.8
1990	9	15.7
1990	10	21.2
1990	11	24.2
1990	12	24.1
1991	1	26.0
1991	2	25.2
1991	3	26.0
1991	4	20.6
1991	5	18.8
1991	6	14.2
1991	7	13.2
1991	8	15.8
1991	9	19.0
1991	10	19.9
1991	11	23.1
1991	12	26.2
1992	1	27.1
1992	2	27.1
1992	3	25.6
1992	4	19.7
1992	5	17.2
1992	6	16.7
1992	7	12.0
1992	8	15.4
1992	9	17.5
1992	10	20.9
1992	11	21.7
1992	12	26.2
1993	1	28.1
1993	2	25.7
1993	3	26.1
1993	4	21.6
1993	5	17.9
1993	6	14.6
1993	7	12.4
1993	8	15.8
1993	9	17.0
1993	10	21.7
1993	11	23.7
1993	12	26.5
1994	1	27.7
1994	2	26.4
1994	3	24.6
1994	4	21.3
1994	5	20.7
1994	6	16.8
1994	7	14.3
