"temperatura" "meses"
"1" 15.2 1
"2" 16.3 2
"3" 16.6 3
"4" 15.5 4
"5" 16.7 5
"6" 16.9 6
"7" 17.2 7
"8" 17.1 8
"9" 16.5 9
"10" 15.4 10
"11" 15.9 11
"12" 15.6 12
"13" 15.4 13
"14" 16.1 14
"15" 15.8 15
"16" 15.4 16
"17" 16.8 17
"18" 15.1 18
"19" 16.7 19
"20" 16.2 20
"21" 15.6 21
"22" 16.6 22
"23" 16 23
"24" 15.5 24
"25" 16.7 25
"26" 16.8 26
"27" 16.9 27
"28" 16.1 28
"29" 16.8 29
"30" 15.6 30
"31" 16.2 31
"32" 16.1 32
"33" 16.5 33
"34" 15.1 34
"35" 16.3 35
"36" 15.4 36
"37" 17.3 37
"38" 15.3 38
"39" 15.3 39
"40" 16.1 40
"41" 15.8 41
"42" 17 42
"43" 16.8 43
"44" 16.5 44
"45" 16.7 45
"46" 17 46
"47" 16.8 47
"48" 17.2 48
"49" 16.3 49
"50" 16.4 50
"51" 16.2 51
"52" 16 52
"53" 16.1 53
"54" 16.6 54
"55" 16.1 55
"56" 16.7 56
"57" 16.6 57
"58" 16.9 58
"59" 17.3 59
"60" 16.3 60
"61" 17.3 61
"62" 15.9 62
"63" 16.2 63
"64" 16.4 64
"65" 16.5 65
"66" 15.9 66
"67" 16.7 67
"68" 16.1 68
"69" 15.6 69
"70" 17.1 70
"71" 16.3 71
"72" 16.8 72
"73" 17.1 73
"74" 16.9 74
"75" 16.6 75
"76" 17 76
"77" 16.8 77
"78" 16.7 78
"79" 16.7 79
"80" 16.6 80
"81" 17.2 81
"82" 15.6 82
"83" 16.7 83
"84" 17.1 84
"85" 16.4 85
"86" 17.1 86
"87" 16.2 87
"88" 17.1 88
"89" 16.8 89
"90" 16.3 90
"91" 16.9 91
"92" 16.9 92
"93" 17.4 93
"94" 15.8 94
"95" 16.1 95
"96" 16.8 96
"97" 17.4 97
"98" 17.3 98
"99" 16 99
"100" 17 100
"101" 17.2 101
"102" 16.6 102
"103" 17.2 103
"104" 17.3 104
"105" 17 105
"106" 17.1 106
"107" 17.1 107
"108" 17.6 108
"109" 17.4 109
"110" 17.3 110
"111" 17 111
"112" 17.1 112
"113" 16.7 113
"114" 18.2 114
"115" 16.9 115
"116" 15.9 116
"117" 16.9 117
"118" 17.1 118
"119" 17.9 119
"120" 17.3 120
"121" 17.5 121
"122" 17.1 122
"123" 16.6 123
"124" 16.8 124
"125" 16.6 125
"126" 16.5 126
"127" 17.4 127
"128" 16.7 128
"129" 16.7 129
"130" 16.5 130
"131" 17.2 131
"132" 17.1 132
"133" 17.6 133
"134" 17.4 134
"135" 16.5 135
"136" 17.8 136
"137" 17.1 137
"138" 17.3 138
"139" 17 139
"140" 17.2 140
"141" 16.4 141
"142" 17.4 142
"143" 17.8 143
"144" 16.8 144
"145" 17.3 145
"146" 16.4 146
"147" 16.9 147
"148" 16.9 148
"149" 17.9 149
"150" 17.2 150
"151" 17.8 151
"152" 18 152
"153" 17.2 153
"154" 17.6 154
"155" 18.1 155
"156" 17 156
"157" 17.2 157
"158" 16.8 158
"159" 17.1 159
"160" 16.2 160
"161" 17.7 161
"162" 18 162
"163" 16.8 163
"164" 16.6 164
"165" 17.9 165
"166" 17.6 166
"167" 17.4 167
"168" 17 168
"169" 17.7 169
"170" 17.4 170
"171" 16.9 171
"172" 17.3 172
"173" 17.4 173
"174" 17.9 174
"175" 17.7 175
"176" 17.6 176
"177" 17.2 177
"178" 17.2 178
"179" 17.8 179
"180" 17.2 180
"181" 18 181
"182" 17.5 182
"183" 18.1 183
"184" 17.5 184
"185" 17.9 185
"186" 17.8 186
"187" 17.2 187
"188" 17.6 188
"189" 17.6 189
"190" 17.9 190
"191" 17.6 191
"192" 18 192
"193" 17.6 193
"194" 17.9 194
"195" 17.5 195
"196" 17.6 196
"197" 17.6 197
"198" 18.1 198
"199" 17.5 199
"200" 17.5 200
"201" 17.2 201
"202" 18.8 202
"203" 17.5 203
"204" 17.9 204
"205" 18 205
"206" 17.8 206
"207" 17.9 207
"208" 17.7 208
"209" 18.1 209
"210" 17.6 210
"211" 17.6 211
"212" 17.9 212
"213" 16.7 213
"214" 17.7 214
"215" 17.9 215
"216" 18 216
"217" 18.7 217
"218" 18.1 218
"219" 17.4 219
"220" 17.9 220
"221" 19.1 221
"222" 17.6 222
"223" 18.3 223
"224" 17.8 224
"225" 18.5 225
"226" 17.3 226
"227" 18.1 227
"228" 17.9 228
"229" 17.8 229
"230" 17.8 230
"231" 18.6 231
"232" 18.1 232
"233" 18.7 233
"234" 19.1 234
"235" 17.9 235
"236" 17.7 236
"237" 18.8 237
"238" 17.2 238
"239" 18.2 239
"240" 17.4 240
"241" 17.5 241
"242" 17.9 242
"243" 17.4 243
"244" 18.9 244
"245" 17.8 245
"246" 18.2 246
"247" 18.4 247
"248" 18.3 248
"249" 18 249
"250" 17.5 250
"251" 17.9 251
"252" 18 252
"253" 18.2 253
"254" 17.7 254
"255" 17.9 255
"256" 18.8 256
"257" 18 257
"258" 18.1 258
"259" 18.2 259
"260" 18.4 260
"261" 18.3 261
"262" 19.1 262
"263" 18.1 263
"264" 18.5 264
"265" 18.6 265
"266" 18 266
"267" 18 267
"268" 18.4 268
"269" 18.9 269
"270" 19 270
"271" 18.3 271
"272" 17.5 272
"273" 17.7 273
"274" 18.5 274
"275" 17.9 275
"276" 17.1 276
"277" 17.9 277
"278" 17.8 278
"279" 17.9 279
"280" 18.8 280
"281" 17.5 281
"282" 17.9 282
"283" 17.2 283
"284" 18.6 284
"285" 17.4 285
"286" 17.6 286
"287" 17.8 287
"288" 19.7 288
"289" 18.6 289
"290" 18.9 290
"291" 18.3 291
"292" 18.3 292
"293" 18.5 293
"294" 18.5 294
"295" 18.4 295
"296" 17.5 296
"297" 19 297
"298" 18.2 298
"299" 18.9 299
"300" 18.8 300
"301" 18.6 301
