mardelplata	 apr	 may	 jun	
1979	6.55	2.78	0	
1980	53.22	32.15	23.1	
1981	13.33	25.47	0	
1982	36.67	22.25	6.67	
1983	3.33	6.45	3.33	
1984	22.99	3.11	0	
1985	0	3.23	15.86	
1986	3.22	9.68	5.4	
1987	10	6.45	0	
1988	0	0	0	
1989	9.08	15.02	9.66	
1990	0	5.56	0	
1991	6.67	19.35	6.67	
1992	6.67	19.35	33.33	
1993	20	22.58	23.33	
1994	3.33	9.68	10	
1995	10	6.45	6.67	
1996	6.67	16.13	10	
1997	16.67	29.03	20	
1998	23.33	12.9	10	
1999	0	9.68	3.33	
2000	0	6.45	13.33	
2001	6.9	9.68	20	
2002	10	12.9	6.67	
2003	6.67	12.9	20	
