posadas	 apr	 may	 jun
1979	0	0	3.33
1980	49.77	19.24	8.39
1981	3.33	33.33	3.33
1982	2.87	19.91	6.55
1983	22.3	16.13	16.67
1984	9.89	48.28	11.95
1985	16.67	24.47	7.59
1986	16.67	15.13	22.64
1987	28.62	3.23	5.63
1988	16.67	6.12	6.55
1989	8.85	3.23	0
1990	19.77	6.23	3.33
1991	16.67	25.81	10
1992	13.33	25.81	16.67
1993	36.67	19.35	6.67
1994	16.67	38.71	23.33
1995	16.67	6.45	6.67
1996	30	3.23	10
1997	6.67	6.45	13.33
1998	20	12.9	6.67
1999	16.67	3.23	3.33
2000	20	9.68	26.67
2001	26.67	6.45	33.33
2002	26.67	22.58	23.33
2003	26.67	19.35	23.33
