sst36	abril	mayo	junio
1979	19.302	17.102	15.129
1980	20.126	18.550	16.371
1981	19.466	18.055	15.909
1982	20.515	18.363	16.330
1983	19.323	17.156	14.896
1984	19.306	17.141	14.959
1985	19.018	17.251	15.200
1986	19.640	16.994	15.656
1987	19.703	16.969	14.732
1988	18.692	16.768	14.118
1989	19.632	17.732	15.667
1990	19.171	16.897	15.448
1991	19.814	18.006	15.689
1992	20.457	18.428	16.889
1993	20.091	18.036	15.855
1994	19.248	18.002	16.142
1995	19.166	17.359	15.661
1996	20.233	18.084	16.258
1997	20.130	18.207	16.004
1998	19.355	18.117	16.502
1999	19.465	17.558	15.523
2000	20.282	18.242	16.336
2001	20.351	17.568	16.423
2002	19.861	17.799	16.412
2003	19.745	17.860	16.181
