ANIOS	R_SIN_T	PP_12	TMAX_12	TMIN_12	PP_1	TMAX_1	TMIN_1	PP_2	PP_4	TMAX_4	TMIN_4
1974	-510	50.2	29.1	15.0	44.2	32.1	18	54.9	5	27	11
1975	-345	110.7	28.4	14.6	133.8	30.4	16.7	59.7	47	23.9	11.5
1976	-530	37.8	34.5	15.8	350.4	30.7	17.8	166.3	70.8	23.6	8.8
1977	185	249.5	29.1	16.1	143.7	30.4	18.3	375.4	41.3	25.5	11.1
1978	537	305.9	29.2	17.2	181.6	29	16.7	95.8	17.8	25.4	11.4
1979	615	178.4	29.8	16.6	137	31.2	18.4	99.8	73.8	23.6	10.5
1980	-525	93.5	29	16	9.3	34.4	17.9	76.6	154.8	24.2	15
1981	299	132	30.5	16.9	283.4	29.1	17.5	130.7	198.1	23.4	12.8
1982	111	116.6	29.4	16.3	87.5	31.2	16.9	143.5	79.1	24.8	13.7
1983	276	46.1	30.9	17.2	151	32	19.9	102.7	38.3	24	11.2
1984	547	102.6	33.5	18.6	31.3	32.2	19.9	373	22.4	22.9	9.8
1985	-174	165.4	28	14.6	43.7	31.2	16.7	50.5	104.3	24.4	10.3
1986	-159	128.6	30.7	17.7	132.2	32.4	18	75.6	68	24.9	11.9
1987	114	219.8	30	17.6	86.2	31.3	18.1	117.7	61	24.3	11.6
1988	262	198	27.7	15.6	148.4	30.1	17.1	34.3	17.6	23	9.6
1989	-522	86.2	32.9	17.2	47.4	34.6	19.1	37	65.5	24.4	11.9
1990	34	88.1	31.4	18.4	124.6	33.8	18.4	233	63.7	23	12.6
1991	-26	157.4	27.8	15.9	140.5	29.1	16.8	73	253.9	23.7	12.3
1992	-15	367.9	27.9	17.1	68	30.4	17.2	76.6	83.3	22.5	10
1993	228	273.9	28.4	17	197.6	30.8	18.4	38.7	179.9	24.2	12.1
1994	-36	283.2	29.3	16	39.9	30.2	16.8	105.9	156.7	23	10.9
1995	189	83	31.9	19.3	132.3	28.7	17.4	121.6	54.5	23.1	11.5
1996	146	44	32.3	17.6	96.7	29.7	16.8	160	132.5	23.7	12.7
1997	-808	45.1	30.2	17.2	51.7	33.1	19.3	35.1	60.5	27.1	11.9
1998	286	183	28.4	16.6	215.2	28.4	16.2	181	58.3	22.1	11.9
1999	-1	122	28.9	15	43	28.9	15.4	63	114	22.4	10
2000	-171	180.4	29.4	14.8	90.3	31.3	17.1	79.7	172.3	24	13.3
