lon	lat	estacion
-65.6	-22.1	87007
-64.32	-23.15	87016
-65.48	-24.85	87047
-60.58	-24.7	87078
-54.47	-25.73	87097
-65.2	-26.83	87121
-64.3	-27.77	87129
-60.45	-26.82	87148
-58.23	-26.2	87162
-58.77	-27.45	87166
-55.97	-27.37	87178
-66.82	-29.38	87217
-65.77	-28.6	87222
-63.68	-29.9	87244
-61.95	-29.88	87257
-59.7	-29.18	87270
-57.15	-29.68	87289
-68.42	-31.57	87311
-66.28	-30.37	87320
-65.13	-31.95	87328
-64.22	-31.32	87344
-63.88	-31.67	87349
-60.81	-31.7	87371
-60.48	-31.78	87374
-57.65	-30.27	87393
-58.02	-31.3	87395
-68.78	-32.83	87418
-66.35	-33.27	87436
-65.38	-33.73	87448
-64.23	-33.12	87453
-62.15	-32.7	87467
-60.78	-32.92	87480
-58.62	-33	87497
-69.58	-35.5	87506
-68.4	-34.58	87509
-63.75	-35.7	87532
-63.37	-34.13	87534
-61.9	-35.87	87544
-60.92	-34.55	87548
-60.88	-35.45	87550
-59.1	-36.07	87563
-58.48	-34.58	87585
-57.9	-34.97	87593
-57.28	-35.37	87596
-64.27	-36.57	87623
-61.07	-36.2	87640
-59.83	-36.75	87641
-59.25	-37.23	87645
-62.38	-37.6	87679
-60.25	-38.33	87688
-57.58	-37.93	87692
-68.13	-38.95	87715
-62.17	-38.73	87750
-71.17	-41.15	87765
-68.73	-41.25	87774
-65.1	-40.78	87784
-71.15	-42.93	87803
-65.27	-43.2	87828
-67.5	-45.78	87860
-72.03	-50.27	87904
-67.75	-49.32	87909
-69.28	-51.62	87925
-61.11	-27.08	87144
-64.97	-38.82	1801
-63.01	-40.51	87791
-70.1	-48.47	87880
-67.42	-54	87934
