ANIO	NINIO	87007	87016	87047	87078	87097	87121	87129	87148	87162	87166	87178	87217	87222	87244	87257	87270	87289	87311	87320	87328	87344	87349	87371	87374	87393	87395	87418	87436	87448	87453	87467	87480	87497	87506	87509	87532	87534	87544	87548	87550	87563	87585	87593	87596	87623	87640	87641	87645	87679	87688	87692	87715	87750	87765	87774	87784	87803	87828	87860	87904	87909	87925	87144	1801	87791	87880	87934
1979	0.14	78.6	186.0	191.7	269.1	751.6	356.7	88.2	273.8	329.2	264.0	334.4	99.6	142.3	77.6	261.5	368.4	271.5	22.7	59.8	139.1	85.3	80.3	243.8	298.5	258.2	260.4	56.1	223.0	139.5	137.7	154.3	233.9	119.4	73.9	103.0	185.4	184.0	252.0	185.9	188.5	102.1	189.9	115.7	117.2	197.9	192.3	95.0	97.4	243.1	304.4	147.5	17.9	155.9	189.3	83.8	65.3	178.9	81.8	100.5	69.0	61.5	76.5	246.7	111.8	128.3	42.3	109.6
1980	0.21	46.5	486.9	297.6	358.0	400.9	274.4	215.5	382.0	369.8	381.8	486.2	129.2	125.3	272.1	214.9	275.2	244.3	26.6	113.4	230.1	384.8	242.2	396.1	480.3	299.2	435.4	43.6	80.4	177.4	285.8	319.8	312.7	454.8	73.9	94.5	205.9	383.7	380.2	554.2	574.7	568.8	490.4	553.9	603.3	177.4	538.6	842.8	755.8	452.6	482.3	561.4	93.9	428.8	415.5	98.9	63.7	189.2	112.0	192.8	102.2	148.5	96.4	344.7	129.6	96.1	54.7	111.8
1981	-0.03	72.4	269.0	82.6	318.6	308.5	304.2	129.2	334.1	418.9	522.2	305.2	126.2	119.4	195.4	228.6	340.1	200.2	10.3	115.9	162.9	328.6	379.7	372.3	495.1	359.9	337.2	122.6	155.1	193.6	216.7	337.1	416.6	422.1	84.8	53.3	308.7	237.5	225.6	241.9	362.7	250.0	349.9	371.9	364.0	214.2	220.6	152.1	273.2	304.7	241.5	189.3	113.1	243.8	441.0	127.7	102.5	216.0	84.3	94.4	57.6	103.8	93.6	323.1	147.0	129.3	67.6	167.9
1982	0.36	82.0	302.4	205.6	367.7	170.4	298.6	280.6	377.4	233.3	171.4	199.1	52.2	94.4	190.6	174.9	167.3	310.8	30.5	135.1	173.1	266.3	151.5	113.6	192.6	316.5	176.1	11.3	176.6	154.1	170.3	155.9	180.9	311.7	39.5	127.5	349.9	189.4	237.2	241.1	356.7	326.4	250.6	180.4	245.0	304.3	284.8	269.6	207.0	335.9	448.7	200.5	20.0	344.0	257.3	81.8	73.2	117.6	84.7	55.5	36.2	77.8	47.4	192.3	66.5	31.5	41.8	65.2
1983	1.40	3.9	195.6	80.1	433.9	1048.7	161.2	109.3	538.3	501.2	896.3	1018.9	33.8	58.6	205.8	297.0	382.3	638.8	7.3	43.5	61.4	107.5	144.7	245.6	355.3	590.9	326.2	21.4	91.9	81.8	150.3	216.8	126.9	162.5	23.6	64.8	159.8	189.7	247.5	255.8	298.9	210.2	152.0	206.1	219.1	225.9	343.9	309.9	288.2	310.7	336.2	291.5	21.0	349.0	171.8	168.0	203.7	107.7	190.9	131.0	47.3	88.0	144.3	425.3	330.0	231.0	28.3	106.4
1984	-0.50	89.4	372.1	230.5	230.2	409.0	387.6	176.4	455.3	526.5	742.7	417.0	229.7	132.9	277.7	167.5	255.1	675.0	10.6	224.2	164.9	214.0	142.0	283.1	240.4	331.9	398.1	163.0	207.7	240.2	191.4	122.7	218.5	288.2	119.9	156.5	205.1	289.4	200.3	163.7	247.1	189.5	201.6	260.5	112.1	155.9	249.2	184.4	252.9	113.0	329.5	322.6	171.3	175.8	342.9	86.4	82.9	191.0	135.3	71.0	42.4	54.5	21.2	334.1	135.0	274.7	46.3	47.5
1985	-0.88	55.3	302.7	139.1	183.4	372.2	295.9	89.4	502.7	673.0	694.8	785.9	73.5	126.6	148.1	182.8	680.1	639.1	0.1	59.4	89.4	81.8	116.9	305.4	304.3	503.4	623.1	14.5	74.1	64.5	80.9	120.8	253.0	184.2	33.0	39.8	122.3	82.1	178.2	230.8	190.9	281.8	536.8	439.3	324.5	94.5	225.8	226.7	171.0	150.1	181.5	183.0	23.9	111.5	331.2	44.0	82.9	135.3	9.6	68.4	49.2	164.0	121.1	447.5	82.5	75.7	101.3	89.8
1986	-0.39	66.2	158.0	48.6	300.3	607.7	203.9	61.8	751.9	930.9	1084.1	900.0	45.7	42.3	237.8	248.6	789.5	988.8	19.3	82.9	26.3	56.0	78.7	357.7	500.1	690.3	613.9	30.1	131.1	188.4	135.5	175.7	291.0	384.2	108.4	19.0	313.8	269.1	370.5	265.7	284.2	295.1	351.4	298.1	220.0	248.1	383.5	316.9	238.3	281.3	192.6	324.4	35.6	101.2	230.1	63.1	33.3	100.5	44.0	96.9	16.2	49.3	132.8	657.9	70.7	50.7	56.4	100.6
1987	1.09	59.0	284.0	142.6	143.2	586.2	136.3	131.5	242.5	350.5	466.3	616.6	60.3	133.0	460.7	344.6	467.4	693.2	53.7	23.9	144.7	263.7	286.0	516.0	314.4	573.5	523.8	72.7	167.3	168.6	223.7	327.3	413.7	219.2	146.7	124.5	320.6	261.9	433.6	273.4	353.8	295.3	332.5	283.0	292.5	209.1	466.8	327.1	266.7	139.0	177.1	239.7	78.4	111.4	130.0	86.4	85.4	62.1	48.2	23.2	20.6	53.3	83.8	315.0	107.0	144.7	52.5	126.4
